XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label,methyl_1+,fluoro_1+,azido_1+
S,2,0,0,0,0,3,_H2S,3.0,SAA+3P-H2S,964.130352,964.1304,965.138177,965.1382,XAA+3P,1007.1851270000001,1019.109911,1088.142368
S,0,0,1,1,0,3,_H2S,3.0,SGS+3P-H2S,973.075207,973.0752,974.083032,974.083,XGS+3P,1016.129982,1028.054766,1097.087223
S,0,2,0,0,0,4,_H2S_H2O,3.0,SCC+4P-H2S-H2O,978.063654,978.0637,979.071479,979.0715,XCC+4P,1021.118429,1033.043213,1102.07567
S,0,0,2,0,0,3,_H2S_H2O,3.0,SGG+3P-H2S-H2O,978.109617,978.1096,979.117442,979.1174,XGG+3P,1021.164392,1033.089176,1102.121633
S,0,1,0,0,1,4,_H2S_H2O,3.0,SCU+4P-H2S-H2O,979.04767,979.0477,980.055495,980.0555,XCU+4P,1022.102445,1034.027229,1103.059686
S,0,0,0,0,2,4,_H2S_H2O,3.0,SUU+4P-H2S-H2O,980.031686,980.0317,981.039511,981.0395,XUU+4P,1023.086461,1035.011245,1104.043702
S,1,0,1,0,0,3,_H2S,3.0,SAG+3P-H2S,980.125267,980.1253,981.133092,981.1331,XAG+3P,1023.1800420000001,1035.104826,1104.137283
S,0,1,0,1,0,4,_H2S_H2O,3.0,SCS+4P-H2S-H2O,995.024827,995.0248,996.032652,996.0327,XCS+4P,1038.079602,1050.004386,1119.0368429999999
S,0,0,0,1,1,4,_H2S_H2O,3.0,SSU+4P-H2S-H2O,996.008843,996.0088,997.016668,997.0167,XSU+4P,1039.063618,1050.988402,1120.020859
S,0,2,0,0,0,4,_H2S,3.0,SCC+4P-H2S,996.074219,996.0742,997.082044,997.082,XCC+4P,1039.128994,1051.053778,1120.086235
S,0,0,2,0,0,3,_H2S,3.0,SGG+3P-H2S,996.120182,996.1202,997.128007,997.128,XGG+3P,1039.174957,1051.099741,1120.132198
S,0,1,0,0,1,4,_H2S,3.0,SCU+4P-H2S,997.058235,997.0582,998.06606,998.0661,XCU+4P,1040.11301,1052.037794,1121.070251
S,0,0,0,0,2,4,_H2S,3.0,SUU+4P-H2S,998.042251,998.0423,999.050076,999.0501,XUU+4P,1041.097026,1053.02181,1122.054267
S,1,1,0,0,0,4,_H2S_H2O,3.0,SAC+4P-H2S-H2O,1002.074887,1002.0749,1003.082712,1003.0827,XAC+4P,1045.129662,1057.054446,1126.086903
S,1,0,0,0,1,4,_H2S_H2O,3.0,SAU+4P-H2S-H2O,1003.058903,1003.0589,1004.066728,1004.0667,XAU+4P,1046.113678,1058.038462,1127.070919
S,0,0,0,2,0,4,_H2S_H2O,3.0,SSS+4P-H2S-H2O,1011.986,1011.986,1012.993825,1012.9938,XSS+4P,1055.040775,1066.965559,1135.998016
S,0,1,0,1,0,4,_H2S,3.0,SCS+4P-H2S,1013.035392,1013.0354,1014.043217,1014.0432,XCS+4P,1056.090167,1068.014951,1137.047408
S,0,0,0,1,1,4,_H2S,3.0,SSU+4P-H2S,1014.019408,1014.0194,1015.027233,1015.0272,XSU+4P,1057.074183,1068.998967,1138.031424
S,0,1,1,0,0,4,_H2S_H2O,3.0,SCG+4P-H2S-H2O,1018.069802,1018.0698,1019.077627,1019.0776,XCG+4P,1061.124577,1073.049361,1142.081818
S,1,0,0,1,0,4,_H2S_H2O,3.0,SAS+4P-H2S-H2O,1019.03606,1019.0361,1020.043885,1020.0439,XAS+4P,1062.090835,1074.015619,1143.048076
S,0,0,1,0,1,4,_H2S_H2O,3.0,SGU+4P-H2S-H2O,1019.053818,1019.0538,1020.061643,1020.0616,XGU+4P,1062.108593,1074.033377,1143.065834
S,1,1,0,0,0,4,_H2S,3.0,SAC+4P-H2S,1020.085452,1020.0855,1021.093277,1021.0933,XAC+4P,1063.1402269999999,1075.065011,1144.097468
S,1,0,0,0,1,4,_H2S,3.0,SAU+4P-H2S,1021.069468,1021.0695,1022.077293,1022.0773,XAU+4P,1064.124243,1076.049027,1145.081484
S,2,0,0,0,0,4,_H2S_H2O,3.0,SAA+4P-H2S-H2O,1026.08612,1026.0861,1027.0939449999998,1027.0939,XAA+4P,1069.1408949999998,1081.0656789999998,1150.0981359999998
S,0,0,0,2,0,4,_H2S,3.0,SSS+4P-H2S,1029.996565,1029.9966,1031.0043899999998,1031.0044,XSS+4P,1073.0513399999998,1084.9761239999998,1154.0085809999998
