XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label
S,0,0,0,1,2,3,_H2S_H2O,4.0,SSUU+3P-H2S-H2O,1142.101483,1142.1015,1143.1093079999998,1143.1093,XSUU+3P
S,0,2,0,0,1,3,_H2S,4.0,SCCU+3P-H2S,1142.166859,1142.1669,1143.1746839999998,1143.1747,XCCU+3P
S,0,1,0,0,2,3,_H2S,4.0,SCUU+3P-H2S,1143.150875,1143.1509,1144.1587,1144.1587,XCUU+3P
S,0,0,0,0,3,3,_H2S,4.0,SUUU+3P-H2S,1144.134891,1144.1349,1145.1427159999998,1145.1427,XUUU+3P
S,1,2,0,0,0,3,_H2S_H2O,4.0,SACC+3P-H2S-H2O,1147.183511,1147.1835,1148.191336,1148.1913,XACC+3P
S,1,1,0,0,1,3,_H2S_H2O,4.0,SACU+3P-H2S-H2O,1148.167527,1148.1675,1149.175352,1149.1754,XACU+3P
S,1,0,0,0,2,3,_H2S_H2O,4.0,SAUU+3P-H2S-H2O,1149.151543,1149.1515,1150.159368,1150.1594,XAUU+3P
S,0,1,0,2,0,3,_H2S_H2O,4.0,SCSS+3P-H2S-H2O,1157.094624,1157.0946,1158.102449,1158.1024,XCSS+3P
S,0,0,0,2,1,3,_H2S_H2O,4.0,SSSU+3P-H2S-H2O,1158.07864,1158.0786,1159.086465,1159.0865,XSSU+3P
S,0,2,0,1,0,3,_H2S,4.0,SCCS+3P-H2S,1158.144016,1158.144,1159.151841,1159.1518,XCCS+3P
S,0,1,0,1,1,3,_H2S,4.0,SCSU+3P-H2S,1159.128032,1159.128,1160.135857,1160.1359,XCSU+3P
S,0,0,0,1,2,3,_H2S,4.0,SSUU+3P-H2S,1160.112048,1160.112,1161.119873,1161.1199,XSUU+3P
S,0,2,1,0,0,3,_H2S_H2O,4.0,SCCG+3P-H2S-H2O,1163.178426,1163.1784,1164.186251,1164.1863,XCCG+3P
S,1,1,0,1,0,3,_H2S_H2O,4.0,SACS+3P-H2S-H2O,1164.144684,1164.1447,1165.152509,1165.1525,XACS+3P
S,0,1,1,0,1,3,_H2S_H2O,4.0,SCGU+3P-H2S-H2O,1164.162442,1164.1624,1165.170267,1165.1703,XCGU+3P
S,1,0,0,1,1,3,_H2S_H2O,4.0,SASU+3P-H2S-H2O,1165.1287,1165.1287,1166.136525,1166.1365,XASU+3P
S,0,0,1,0,2,3,_H2S_H2O,4.0,SGUU+3P-H2S-H2O,1165.146458,1165.1465,1166.154283,1166.1543,XGUU+3P
S,1,2,0,0,0,3,_H2S,4.0,SACC+3P-H2S,1165.194076,1165.1941,1166.201901,1166.2019,XACC+3P
S,1,1,0,0,1,3,_H2S,4.0,SACU+3P-H2S,1166.178092,1166.1781,1167.185917,1167.1859,XACU+3P
S,1,0,0,0,2,3,_H2S,4.0,SAUU+3P-H2S,1167.162108,1167.1621,1168.169933,1168.1699,XAUU+3P
S,2,1,0,0,0,3,_H2S_H2O,4.0,SAAC+3P-H2S-H2O,1171.194744,1171.1947,1172.2025689999998,1172.2026,XAAC+3P
S,2,0,0,0,1,3,_H2S_H2O,4.0,SAAU+3P-H2S-H2O,1172.17876,1172.1788,1173.186585,1173.1866,XAAU+3P
S,0,0,0,3,0,3,_H2S_H2O,4.0,SSSS+3P-H2S-H2O,1174.055797,1174.0558,1175.063622,1175.0636,XSSS+3P
S,0,1,0,2,0,3,_H2S,4.0,SCSS+3P-H2S,1175.105189,1175.1052,1176.113014,1176.113,XCSS+3P
S,0,0,0,2,1,3,_H2S,4.0,SSSU+3P-H2S,1176.089205,1176.0892,1177.09703,1177.097,XSSU+3P
S,0,1,1,1,0,3,_H2S_H2O,4.0,SCGS+3P-H2S-H2O,1180.139599,1180.1396,1181.147424,1181.1474,XCGS+3P
S,1,0,0,2,0,3,_H2S_H2O,4.0,SASS+3P-H2S-H2O,1181.105857,1181.1059,1182.113682,1182.1137,XASS+3P
S,0,0,1,1,1,3,_H2S_H2O,4.0,SGSU+3P-H2S-H2O,1181.123615,1181.1236,1182.13144,1182.1314,XGSU+3P
S,0,2,1,0,0,3,_H2S,4.0,SCCG+3P-H2S,1181.188991,1181.189,1182.196816,1182.1968,XCCG+3P
S,1,1,0,1,0,3,_H2S,4.0,SACS+3P-H2S,1182.155249,1182.1552,1183.1630739999998,1183.1631,XACS+3P
S,0,1,1,0,1,3,_H2S,4.0,SCGU+3P-H2S,1182.173007,1182.173,1183.180832,1183.1808,XCGU+3P
S,1,0,0,1,1,3,_H2S,4.0,SASU+3P-H2S,1183.139265,1183.1393,1184.14709,1184.1471,XASU+3P
S,0,0,1,0,2,3,_H2S,4.0,SGUU+3P-H2S,1183.157023,1183.157,1184.164848,1184.1648,XGUU+3P
S,1,1,1,0,0,3,_H2S_H2O,4.0,SACG+3P-H2S-H2O,1187.189659,1187.1897,1188.1974839999998,1188.1975,XACG+3P
S,2,0,0,1,0,3,_H2S_H2O,4.0,SAAS+3P-H2S-H2O,1188.155917,1188.1559,1189.163742,1189.1637,XAAS+3P
S,1,0,1,0,1,3,_H2S_H2O,4.0,SAGU+3P-H2S-H2O,1188.173675,1188.1737,1189.1815,1189.1815,XAGU+3P
S,2,1,0,0,0,3,_H2S,4.0,SAAC+3P-H2S,1189.205309,1189.2053,1190.213134,1190.2131,XAAC+3P
S,2,0,0,0,1,3,_H2S,4.0,SAAU+3P-H2S,1190.189325,1190.1893,1191.19715,1191.1972,XAAU+3P
S,0,0,0,3,0,3,_H2S,4.0,SSSS+3P-H2S,1192.066362,1192.0664,1193.074187,1193.0742,XSSS+3P
S,3,0,0,0,0,3,_H2S_H2O,4.0,SAAA+3P-H2S-H2O,1195.205977,1195.206,1196.213802,1196.2138,XAAA+3P
S,0,0,1,2,0,3,_H2S_H2O,4.0,SGSS+3P-H2S-H2O,1197.100772,1197.1008,1198.108597,1198.1086,XGSS+3P
S,0,1,1,1,0,3,_H2S,4.0,SCGS+3P-H2S,1198.150164,1198.1502,1199.1579889999998,1199.158,XCGS+3P
S,1,0,0,2,0,3,_H2S,4.0,SASS+3P-H2S,1199.116422,1199.1164,1200.124247,1200.1242,XASS+3P
S,0,0,1,1,1,3,_H2S,4.0,SGSU+3P-H2S,1199.13418,1199.1342,1200.142005,1200.142,XGSU+3P
S,0,3,0,0,0,4,_H2S_H2O,4.0,SCCC+4P-H2S-H2O,1203.138611,1203.1386,1204.146436,1204.1464,XCCC+4P
S,0,1,2,0,0,3,_H2S_H2O,4.0,SCGG+3P-H2S-H2O,1203.184574,1203.1846,1204.192399,1204.1924,XCGG+3P
S,0,2,0,0,1,4,_H2S_H2O,4.0,SCCU+4P-H2S-H2O,1204.122627,1204.1226,1205.130452,1205.1305,XCCU+4P
S,1,0,1,1,0,3,_H2S_H2O,4.0,SAGS+3P-H2S-H2O,1204.150832,1204.1508,1205.158657,1205.1587,XAGS+3P
S,0,0,2,0,1,3,_H2S_H2O,4.0,SGGU+3P-H2S-H2O,1204.16859,1204.1686,1205.176415,1205.1764,XGGU+3P
S,0,1,0,0,2,4,_H2S_H2O,4.0,SCUU+4P-H2S-H2O,1205.106643,1205.1066,1206.114468,1206.1145,XCUU+4P
S,1,1,1,0,0,3,_H2S,4.0,SACG+3P-H2S,1205.200224,1205.2002,1206.2080489999998,1206.208,XACG+3P
S,0,0,0,0,3,4,_H2S_H2O,4.0,SUUU+4P-H2S-H2O,1206.090659,1206.0907,1207.098484,1207.0985,XUUU+4P
S,2,0,0,1,0,3,_H2S,4.0,SAAS+3P-H2S,1206.166482,1206.1665,1207.174307,1207.1743,XAAS+3P
S,1,0,1,0,1,3,_H2S,4.0,SAGU+3P-H2S,1206.18424,1206.1842,1207.192065,1207.1921,XAGU+3P
S,2,0,1,0,0,3,_H2S_H2O,4.0,SAAG+3P-H2S-H2O,1211.200892,1211.2009,1212.208717,1212.2087,XAAG+3P
S,3,0,0,0,0,3,_H2S,4.0,SAAA+3P-H2S,1213.216542,1213.2165,1214.2243669999998,1214.2244,XAAA+3P
S,0,0,1,2,0,3,_H2S,4.0,SGSS+3P-H2S,1215.111337,1215.1113,1216.119162,1216.1192,XGSS+3P
S,0,2,0,1,0,4,_H2S_H2O,4.0,SCCS+4P-H2S-H2O,1220.099784,1220.0998,1221.107609,1221.1076,XCCS+4P
S,0,0,2,1,0,3,_H2S_H2O,4.0,SGGS+3P-H2S-H2O,1220.145747,1220.1457,1221.153572,1221.1536,XGGS+3P
S,0,1,0,1,1,4,_H2S_H2O,4.0,SCSU+4P-H2S-H2O,1221.0838,1221.0838,1222.091625,1222.0916,XCSU+4P
S,0,3,0,0,0,4,_H2S,4.0,SCCC+4P-H2S,1221.149176,1221.1492,1222.1570009999998,1222.157,XCCC+4P
S,0,1,2,0,0,3,_H2S,4.0,SCGG+3P-H2S,1221.195139,1221.1951,1222.2029639999998,1222.203,XCGG+3P
S,0,0,0,1,2,4,_H2S_H2O,4.0,SSUU+4P-H2S-H2O,1222.067816,1222.0678,1223.075641,1223.0756,XSUU+4P
S,0,2,0,0,1,4,_H2S,4.0,SCCU+4P-H2S,1222.133192,1222.1332,1223.141017,1223.141,XCCU+4P
S,1,0,1,1,0,3,_H2S,4.0,SAGS+3P-H2S,1222.161397,1222.1614,1223.169222,1223.1692,XAGS+3P
S,0,0,2,0,1,3,_H2S,4.0,SGGU+3P-H2S,1222.179155,1222.1792,1223.18698,1223.187,XGGU+3P
S,0,1,0,0,2,4,_H2S,4.0,SCUU+4P-H2S,1223.117208,1223.1172,1224.1250329999998,1224.125,XCUU+4P
S,0,0,0,0,3,4,_H2S,4.0,SUUU+4P-H2S,1224.101224,1224.1012,1225.109049,1225.109,XUUU+4P
S,1,2,0,0,0,4,_H2S_H2O,4.0,SACC+4P-H2S-H2O,1227.149844,1227.1498,1228.157669,1228.1577,XACC+4P
S,1,0,2,0,0,3,_H2S_H2O,4.0,SAGG+3P-H2S-H2O,1227.195807,1227.1958,1228.203632,1228.2036,XAGG+3P
S,1,1,0,0,1,4,_H2S_H2O,4.0,SACU+4P-H2S-H2O,1228.13386,1228.1339,1229.1416849999998,1229.1417,XACU+4P
